truth_x,truth_y,recon_x,recon_y,dist_px,truth_flux,recon_flux,flux_ratio
45.12,15.91,45.11,15.73,0.174,4.2478e-05,3.3915e-05,0.798
49.56,16.42,49.82,15.98,0.508,4.0250e-05,4.6754e-05,1.162
53.83,16.11,53.81,16.10,0.022,3.8761e-05,3.8658e-05,0.997
5.82,18.77,5.84,18.76,0.019,9.6943e-05,8.8897e-05,0.917
41.91,18.79,41.94,18.89,0.105,5.0138e-05,4.9133e-05,0.980
12.36,20.23,12.37,20.19,0.035,3.5038e-05,4.0444e-05,1.154
27.35,19.66,27.25,19.61,0.111,5.6588e-05,4.5322e-05,0.801
35.70,20.09,35.62,20.11,0.089,5.5786e-05,5.5557e-05,0.996
48.00,20.27,48.00,20.27,0.000,1.3920e-02,1.3902e-02,0.999
8.57,20.94,8.56,20.94,0.016,3.5013e-05,4.3628e-05,1.246
20.41,21.03,20.49,21.09,0.103,2.7098e-05,3.1283e-05,1.154
